Repository,Stars,Created At,Open Issues,Total Pull Requests,Total Releases,Language,Closed Issues
carbon-lang,33170,2020-04-27T21:45:16Z,179,0,417,C++,0
lossless-cut,33160,2016-10-30T10:49:56Z,213,0,100,TypeScript,0
brackets,33157,2011-12-07T21:14:40Z,2779,0,69,JavaScript,0
harness,33140,2014-02-07T07:54:44Z,76,0,53,Go,0
awesome-cursorrules,33140,2024-09-16T15:38:38Z,43,0,0,MDX,0
immutable-js,33064,2014-07-02T06:02:29Z,112,0,89,TypeScript,0
gulp,33063,2013-07-04T05:26:06Z,33,0,24,JavaScript,0
selenium,33051,2013-01-14T21:40:56Z,264,0,108,Java,0
vault,33014,2015-02-25T00:15:59Z,1361,0,169,Go,0
ijkplayer,33004,2013-06-03T04:12:04Z,2884,226,0,C,2548
AnotherRedisDesktopManager,33000,2019-01-08T06:01:56Z,150,227,53,JavaScript,929
